"place_id","name","latitude","longitude","people","fieldtrips__fieldtrip_id____001","fieldtrips__fieldtrip_id____002","fieldtrips__fieldtrip_id____003","fieldtrips__fieldtrip_id____004","fieldtrips__fieldtrip_id____005","fieldtrips__fieldtrip_id____006","fieldtrips__fieldtrip_id____007","people__person__person_id","people__person__relationship","people__person__full_name","people__person__last_name","people__person__first_name","people__person__gender","people__person__core_informant","people__person__image","people__person__url","people__person__residence_place","people__person__residence_place__place_id","people__person__residence_place__name","fieldtrips","fieldtrips__fieldtrip_id"
"1035","Båring","55.4803","9.90595","null","","","","","","","","","","","","","","","","","","","","null",""
"749","Bække","55.5718","9.14238","","","","","","","","","416","told stories here","Niels Jonsen","Jonsen","Niels","N/A","null","","data/informants/416.dfl","","749","Bække","null",""
"750","Bælum","56.8287","10.1161","","","","","","","","","496","told stories here","Lærer M. C. Nielsen","Nielsen","M. C.","N/A","null","","data/informants/496.dfl","","750","Bælum","null",""
"754","Bøffelkobbel","54.9133","9.70452","","","","","","","","","413","told stories here","Marie Johansen","Johansen","Marie","N/A","null","","data/informants/413.dfl","","754","Bøffelkobbel","null",""
"69","Bøgsted","57.4741","10.1043","null","","","","","","","","","","","","","","","","","","","","null",""
"73","Børglum","57.3661","9.83422","null","","","","","","","","","","","","","","","","","","","","","11"
"74","Børglum kloster","57.3718","9.79945","null","","","","","","","","","","","","","","","","","","","","null",""
"762","Charlottenlund","55.751","12.5855","","","","","","","","","482","told stories here","Fru Signe Christensen Møller","Møller","Signe Christensen","N/A","null","","data/informants/482.dfl","","762","Charlottenlund","null",""
"109","Clausholm","56.3865","10.1714","null","","","","","","","","","","","","","","","","","","","","null",""
"110","Dakbjærg","56.053","9.83623","","","","","","","","","123","lived here","Peder Johansen","Johansen","Peder","m","1","data/informants/123.jpg","data/informants/123.dfl","","175","Fuldbro mølle","null",""
"763","Dalager","56.8285","9.02887","","","","","","","","","497","told stories here","Maren Nielsen","Nielsen","Maren","N/A","null","","data/informants/497.dfl","","763","Dalager","null",""
"","","","","","","","","","","","","443","told stories here","Maler Rasmus H. Kruse","Kruse","Rasmus H.","N/A","null","","data/informants/443.dfl","","763","Dalager","",""
"111","Dalby","55.4662","9.49367","","","","","","","","","520","told stories here","Lærer A. C. Poulsen","Poulsen","A. C.","N/A","null","","data/informants/520.dfl","","111","Dalby","null",""
"","","","","","","","","","","","","550","told stories here","Niels Nielsen Væver","Væver","Niels Nielsen","N/A","null","","data/informants/550.dfl","","111","Dalby","",""
"112","Dalby Nedre","56.6379","10.2226","","","","","","","","","435","told stories here","Peder Justesen Kristensen","Kristensen","Peder Justesen","N/A","null","","data/informants/435.dfl","","112","Dalby Nedre","","1"
"940","Dalby Over","56.6217","10.2028","null","","","","","","","","","","","","","","","","","","","","null",""
"1044","Dalby mark","55.5161","10.6586","null","","","","","","","","","","","","","","","","","","","","null",""
"765","Dalby-Stubdrup","56.3717","10.006","","","","","","","","","350","told stories here","Niels Claussøn","Claussøn","Niels","N/A","null","","data/informants/350.dfl","","765","Dalby-Stubdrup","null",""
"113","Dalhus","55.4749","9.11498","null","","","","","","","","","","","","","","","","","","","","null",""
"114","Dals mølle","57.3932","10.13","null","","","","","","","","","","","","","","","","","","","","null",""
"115","Dalsager","57.3538","10.3279","null","","","","","","","","","","","","","","","","","","","","null",""
"116","Dalstrup","56.7237","8.92725","null","","","","","","","","","","","","","","","","","","","","null",""
"117","Damhuskro","55.6741","12.4744","null","","","","","","","","","","","","","","","","","","","","null",""
"118","Damsgårds mose","56.7847","8.65791","null","","","","","","","","","","","","","","","","","","","","null",""
"1021","Dejret","56.1956","10.4391","null","","","","","","","","","","","","","","","","","","","","null",""
"933","Dokkedal","56.905","10.2527","null","","","","","","","","","","","","","","","","","","","","null",""
"119","Dons","55.5559","9.44435","null","","","","","","","","","","","","","","","","","","","","","9"
"122","Dover kirke","56.0784","9.83505","null","","","","","","","","","","","","","","","","","","","","","2"
"123","Dragstrup sige","57.0098","9.86134","null","","","","","","","","","","","","","","","","","","","","null",""
"957","Dragør","55.5906","12.6612","null","","","","","","","","","","","","","","","","","","","","null",""
"124","Drenderupgård","55.4094","9.34056","null","","","","","","","","","","","","","","","","","","","","null",""
"125","Drengshøj","56.9642","8.67391","null","","","","","","","","","","","","","","","","","","","","null",""
"126","Dronningens høj","56.8525","9.83836","null","","","","","","","","","","","","","","","","","","","","null",""
"127","Dronninglund","57.1575","10.2879","null","","","","","","","","","","","","","","","","","","","","","11"
"128","Drostrup","56.3565","10.1017","null","","","","","","","","","","","","","","","","","","","","null",""
"130","Dybbøl","54.9152","9.72758","null","","","","","","","","","","","","","","","","","","","","null",""
"120","Dørup","56.0242","9.76004","null","","","","","","","","","","","","","","","","","","","","","2"
"766","Døstrup","55.1182","8.80444","","","","","","","","","456","told stories here","Fru Anna Christ. Ludvigsen","Ludvigsen","Anna Christ.","N/A","null","","data/informants/456.dfl","","766","Døstrup","null",""
"131","Ebdrup","56.3404","10.5409","null","","","","","","","","","","","","","","","","","","","","","3"
"133","Egebjerg","57.4414","10.1274","null","","","","","","","","","","","","","","","","","","","","null",""
"1024","Egebjerg","56.5384","8.804","null","","","","","","","","","","","","","","","","","","","","null",""
"1037","Egens","56.2692","10.516","null","","","","","","","","","","","","","","","","","","","","null",""
"134","Egense","55.5589","10.6333","null","","","","","","","","","","","","","","","","","","","","null",""
"135","Egholm","56.8758","9.86603","null","","","","","","","","","","","","","","","","","","","","null",""
"136","Egholm slot","56.8757","9.86665","null","","","","","","","","","","","","","","","","","","","","null",""
"137","Egholt","55.5306","9.28247","","","","","","","","","124","told stories here","Marie Jonsen","Jonsen","Marie","f","null","","data/informants/124.dfl","","137","Egholt","","9"
"","","","","","","","","","","","","225","told stories here","Rasmus Nørregaard","Nørregaard","Rasmus","m","null","","data/informants/225.dfl","","137","Egholt","",""
"138","Egsgaard mark","55.8094","9.07443","null","","","","","","","","","","","","","","","","","","","","","16"
"139","Egtved","55.6151","9.30973","","9","16","","","","","","48","told stories here","Kristen Ebbesen","Ebbesen","Kristen","m","null","","data/informants/48.dfl","","139","Egtved","",""
"132","Egå","56.2163","10.2685","null","3","4","","","","","","","","","","","","","","","","","","",""
"140","Elling","57.4771","10.4799","null","","","","","","","","","","","","","","","","","","","","","8"
"767","Ellund","54.7955","9.31526","","","","","","","","","466","told stories here","Lærer Jens Madsen","Madsen","Jens","N/A","null","","data/informants/466.dfl","","767","Ellund","null",""
"141","Elnebjærg","55.7617","11.811","null","","","","","","","","","","","","","","","","","","","","null",""
"142","Eltang","55.5274","9.53783","null","","","","","","","","","","","","","","","","","","","","","9"
"143","Em","57.3458","9.91255","null","","","","","","","","","","","","","","","","","","","","null",""
"144","Endelave","55.7635","10.2903","null","","","","","","","","","","","","","","","","","","","","null",""
"966","Endrupholm","55.52","8.7174","null","","","","","","","","","","","","","","","","","","","","null",""
"1036","Enerisgård","56.036","8.7164","null","","","","","","","","","","","","","","","","","","","","null",""
"768","Engesvang","56.171","9.3528","","","","","","","","","130","told stories here","Søren Jørgensen","Jørgensen","Søren","m","null","","data/informants/130.dfl","","768","Engesvang","null",""
"145","Enner","55.9176","9.72042","null","","","","","","","","","","","","","","","","","","","","null",""
"146","Erslev","56.3638","10.0746","","","","","","","","","354","told stories here","Lærer Tøger Dissing","Dissing","Tøger","N/A","null","","data/informants/354.dfl","","146","Erslev","null",""
"147","Ersted","56.8247","9.77472","","1","6","5","14","","","","150","told stories here, lived here","Jens (Bitte Jens) Kristensen","Kristensen","Jens","m","1","data/informants/150.jpg","data/informants/150.dfl","","147","Ersted","",""
"148","Eskerod","56.2935","10.3485","null","","","","","","","","","","","","","","","","","","","","","7"
"149","Faarup station","56.5434","9.86459","null","","","","","","","","","","","","","","","","","","","","","5"
"770","Falster","54.8162","11.9077","","","","","","","","","455","told stories here","Frøken Elise Lindberg","Lindberg","Elise","N/A","null","","data/informants/455.dfl","","770","Falster","null",""
"959","Feldballe kirke","56.2862","10.5887","null","","","","","","","","","","","","","","","","","","","","null",""
"153","Femhøj","57.4381","10.1651","null","","","","","","","","","","","","","","","","","","","","null",""
"154","Ferslev","56.9532","9.89796","null","","","","","","","","","","","","","","","","","","","","null",""
"774","Finderup","55.5023","11.3091","","","","","","","","","449","told stories here","Kristian Larsen","Larsen","Kristian","N/A","null","","data/informants/449.dfl","","774","Finderup","null",""
"155","Firebakke","56.8876","8.64327","null","","","","","","","","","","","","","","","","","","","","null",""
"156","Firegaarde","56.0848","9.80335","null","","","","","","","","","","","","","","","","","","","","","2"
"775","Firgårde","56.0878","9.80719","","","","","","","","","128","told stories here","Jakob Jørgensen","Jørgensen","Jakob","m","null","","data/informants/128.dfl","","775","Firgårde","null",""
