"place_id","name","display_name","latitude","longitude","stories__story__story_id","stories__story__fieldtrip_id","stories__story__publication_info","stories__story__informant__id","stories__story__full_name","stories__story__place_recorded__id"
"","","","","","92","6","JAH_II_201","150","150 - 3.29 - JAH_II_201","147"
"","","","","","104","6","JAH_I_84","150","150 - 3.41 - JAH_I_84","147"
"","","","","","105","6","FK_0_551","150","150 - 3.42 - FK_0_551","147"
"","","","","","107","6","FK_0_2","150","150 - 3.44 - FK_0_2","147"
"","","","","","108","6","DSnr_IV_452","150","150 - 3.45 - DSnr_IV_452","147"
"","","","","","656","null","DS_II_E_119","539","539 - 0.00 - DS_II_E_119","214"
"348","Konradsminde","Konradsminde: mentioned in 1 story","56.7881","9.75347","83","6","JAH_V_48","150","150 - 3.20 - JAH_V_48","147"
"602","Støvring","Støvring: mentioned in 2 stories","56.8872","9.84135","84","6","JAH_V_172","150","150 - 3.21 - JAH_V_172","147"
"","","","","","120","5","DS_VII_887","150","150 - 4.09 - DS_VII_887","147"
"546","Skørbæk","Skørbæk: mentioned in 2 stories","56.6819","9.72701","95","6","JAH_IV_397","150","150 - 3.32 - JAH_IV_397","147"
"","","","","","98","6","JAH_IV_42","150","150 - 3.35 - JAH_IV_42","147"
"103","Buderupholm","Buderupholm: mentioned in 2 stories","56.8583","9.84437","102","6","JAH_II_102","150","150 - 3.39 - JAH_II_102","147"
"","","","","","677","null","DS_IV_146","496","496 - 0.00 - DS_IV_146","750"
"407","Mjels","Mjels: mentioned in 2 stories","56.9295","9.90055","109","6","FK_0_586","150","150 - 3.46 - FK_0_586","147"
"","","","","","110","6","JAT_VI_1129","150","150 - 3.47 - JAT_VI_1129","147"
"657","Torup","Torup: mentioned in 1 story","56.8246","9.97645","111","6","DS_III_1549","150","150 - 3.48 - DS_III_1549","147"
"92","Bratbjerg","Bratbjerg: mentioned in 1 story","56.7935","9.66936","114","5","DS_VII_738","150","150 - 4.03 - DS_VII_738","147"
"12","Åby  Åbyen","Åby  Åbyen: mentioned in 1 story","57.564","10.03","116","5","DS_I_1179","150","150 - 4.05 - DS_I_1179","147"
"338","København","København: mentioned in 8 stories","55.6796","12.6029","129","5","Unpub_BJK_418","150","150 - 4.18 - Unpub_BJK_418","147"
"","","","","","330","9","Æv_0_1459","90","90 - 1.07 - Æv_0_1459","405"
"","","","","","904","null","JAH_II_253","0","0 - 0.00 - JAH_II_253","282"
"","","","","","887","null","DS_VII_1418","0","0 - 0.00 - DS_VII_1418","946"
"","","","","","787","null","DS_II_E_160","341","341 - 0.00 - DS_II_E_160","316"
